"sites" "" ""
"1" 1 0.948085889999988 8.80494749999978
"29" 29 0.06726753500005 4.6737607499999
"32" 32 0.276678505000018 4.31949459999986
"42" 42 0.0536485300000058 2.78041090000002
"50" 50 0.188080850000028 2.04286869999953
"57" 57 0.437821505 1.78553769999975
"59" 59 0 1.62095399999991
"62" 62 0.574912190000003 1.47019160000002
"67" 67 0.509226425000001 1.11877564999973
"87" 87 0.713131104000029 0.17304021999985
"88" 88 0.44948735000001 0.468332449999638
"91" 91 0.297097947500006 0.122258974999655
"93" 93 0.306943720000039 0
"103" 103 0.0946840614634566 6.61429957560962
