bald	gap	tag	year	initial	fire_year	ht_init	ht_final	rp_init	rp_final	stage	fate	st_init										
1	1	311	1994	1994	1967	18	2	0	0	ve	ve	3										
1	1	312	1994	1994	1967	4	7	0	0	sg	ve	1										
1	1	313	1994	1994	1967	40	37	0	61	ve	me	1										
1	1	314	1994	1994	1967	13	3	0	0	sg	ve	1										
1	2	315	1994	1994	1967	1	6	0	0	sg	ve	1										
1	2	316	1994	1994	1967	32	29	83	41	sm	sm	4										
1	2	318	1994	1994	1967	31	22	NA	20	sm	sm	5										
1	2	320	1994	1994	1967	37	30	NA	121	me	sm	4										
1	2	322	1994	1994	1967	27	42	50	134	sm	me	3										
1	2	323	1994	1994	1967	3	46	0	48	sg	me	2										
1	2	324	1994	1994	1967	39	54	67	159	me	la	2										
1	2	325	1994	1994	1967	31	40	34	31	sm	me	3										
1	2	326	1994	1994	1967	4	19	0	0	sg	ve	2										
1	2	327	1994	1994	1967	51	52	NA	229	la	la	7										
1	2	329	1994	1994	1967	6	21	0	0	sg	ve	1										
1	2	393	1994	1994	1967	32	40	NA	139	sm	me	4										
1	2	394	1994	1994	1967	4	11	0	0	sg	ve	2										
1	2	395	1994	1994	1967	36	22	50	0	me	ve	1										
1	2	396	1994	1994	1967	45	37	213	33	me	me	4										
1	2	397	1994	1994	1967	22	38	15	87	sm	me	1										
1	2	398	1994	1994	1967	16	38	2	136	sm	me	2										
1	2	5317	1994	1994	1967	1	NA	0	NA	sg	rip	1										
1	2	5319	1994	1994	1967	3	NA	0	NA	sg	rip	1										
1	2	5321	1994	1994	1967	9	NA	0	NA	sg	rip	2										
1	2	5328	1994	1994	1967	2	NA	0	NA	sg	rip	1										
1	3	330	1994	1994	1967	48	NA	179	NA	me	rip	5										
1	3	331	1994	1994	1967	29	31	0	42	ve	sm	1										
1	4	332	1994	1994	1967	39	NA	105	NA	me	rip	1										
1	5	334	1994	1994	1967	42	NA	182	NA	me	rip	7										
1	5	341	1994	1994	1967	9	17	0	0	sg	ve	1										
1	5	342	1994	1994	1967	27	26	14	10	sm	sm	2										
1	5	351	1994	1994	1967	8	10	0	0	sg	ve	1										
1	5	5339	1994	1994	1967	1	NA	0	NA	ve	rip	4										
