"","ID","Observers","tag","lg","lf","tp","IDI"
"98",98,"R.A",1590,40.9,5,1,667
"178",178,"R.A",1084,39.6,6,1,92
"251",251,"L.M",1342,39.6,7,2,388
"444",445,"J.L",1169,38,11,1,186
"377",377,"L.M",1562,32.5,3,1,633
"171",171,"R.A",1089,31.4,5,2,98
"152",152,"R.A",1016,41.6,10,1,17
"560",562,"J.L",1448,27,7,1,511
"110",110,"R.A",1549,28,9,1,619
"379",379,"L.M",1230,43.2,4,2,257
"568",571,"J.L",1124,40.8,9,1,136
"28",28,"R.A",1233,56,5,1,260
"243",243,"L.M",1351,36.4,5,1,400
"572",575,"J.L",1120,42.6,5,1,132
"618",621,"C.D",1067,34,12,1,70
"59",59,"R.A",1445,52.4,3,1,508
"590",593,"J.L",1315,9.2,1,1,355
"133",133,"R.A",1539,44.8,8,1,609
"137",137,"R.A",1001,29.3,7,2,1
"341",341,"L.M",1330,31.6,6,1,375
"214",214,"L.M",1285,36.9,2,2,319
"272",272,"L.M",1396,50.5,7,1,449
"306",306,"L.M",1440,24.9,3,1,502
"467",469,"J.L",1511,43.1,8,1,580
"37",37,"R.A",1272,54.1,3,1,303
"24",24,"R.A",1230,49.1,4,2,256
"400",400,"J.L",1214,31.2,7,1,239
"226",226,"L.M",1278,37.7,8,1,311
"553",555,"J.L",1302,30.1,5,2,339
"76",76,"R.A",1552,36.7,6,1,622
"530",532,"J.L",1043,40,10,1,45
"235",235,"L.M",1364,37.1,11,1,413
"322",322,"L.M",1416,33.1,7,2,474
"84",84,"R.A",1559,35.2,8,1,630
"325",325,"L.M",1423,36.1,5,2,482
"546",548,"J.L",1325,34.7,6,2,368
"61",61,"R.A",1424,31.5,11,1,484
"421",421,"J.L",1203,43,6,2,226
"284",284,"L.M",1584,20.4,12,1,659
"162",162,"R.A",1547,31.4,10,1,617
"408",408,"J.L",1221,38.3,8,1,247
"578",581,"J.L",1111,34.6,4,2,123
"77",77,"R.A",1554,37.6,9,1,624
"219",219,"L.M",1283,35.5,9,1,316
"479",481,"J.L",1486,43,4,1,551
"337",337,"L.M",1273,43.2,11,1,304
"305",305,"L.M",1438,31,4,1,500
"363",363,"L.M",1224,19.8,4,1,250
"228",228,"L.M",1137,44.5,7,1,150
"176",176,"R.A",1086,33.8,7,2,95
"545",547,"J.L",1325,35,4,2,369
"258",258,"L.M",1336,41,5,1,382
"17",17,"R.A",1223,44.3,6,1,249
"361",361,"L.M",1222,49.8,5,1,248
"21",21,"R.A",1227,42.2,5,1,253
"265",265,"L.M",1388,45.1,6,1,441
"316",316,"L.M",1158,37.4,7,1,173
"405",405,"J.L",1219,61.1,6,1,245
"208",208,"L.M",1295,37,7,1,331
"441",442,"J.L",1167,37,8,2,184
"475",477,"J.L",1481,35.2,7,1,546
"210",210,"L.M",1288,48.5,6,1,322
"434",435,"J.L",1187,41.5,5,1,207
"583",586,"J.L",1135,39.8,6,1,148
"299",299,"L.M",1432,43.5,4,1,494
"438",439,"J.L",1191,41,9,1,211
"193",193,"R.A",1072,49.6,4,1,77
"285",285,"L.M",1571,27.5,7,1,644
"494",496,"J.L",1047,55.4,6,1,49
"569",572,"J.L",1123,53.9,9,1,135
"207",207,"L.M",1293,34.4,6,2,329
"528",530,"J.L",1026,52,6,1,27
"538",540,"J.L",1322,28,2,2,364
"174",174,"R.A",1099,29.8,11,1,110
"574",577,"J.L",1118,38.1,9,1,130
"247",247,"L.M",1344,40.1,7,1,392
"499",501,"J.L",1027,34.7,7,1,28
"391",391,"L.M",1627,27.5,11,1,701
"220",220,"L.M",1300,29,3,2,337
"398",398,"J.L",1212,33.9,3,1,236
"620",623,"C.D",1043,40.1,10,1,45
"92",92,"R.A",1615,30.6,4,1,693
"581",584,"J.L",1138,44.5,5,1,151
"403",403,"J.L",1217,45,6,1,243
"443",444,"J.L",1168,43.6,10,1,185
"529",531,"J.L",1039,44.6,6,1,41
"455",457,"J.L",1179,38.8,9,1,198
"29",29,"R.A",1234,47.9,9,1,261
"571",574,"J.L",1121,40.7,6,1,133
"591",594,"J.L",1132,50.7,8,1,144
"481",483,"J.L",1490,51.4,6,1,555
"279",279,"L.M",1398,3.7,2,2,451
"182",182,"R.A",1081,47.2,6,1,88
"244",244,"L.M",1349,37.6,5,1,398
"1",1,"R.A",1236,46.9,7,1,263
"99",99,"R.A",1601,33,6,1,678
"395",395,"J.L",1209,45.1,6,1,233
"33",33,"R.A",1275,32,8,1,307
"52",52,"R.A",1434,35.3,8,1,496
"415",415,"J.L",1198,39.6,5,1,219
