"","ID","Observers","tag","lg","lf","tp","IDI"
"1",1,"R.A",1236,46.9,7,1,263
"2",2,"R.A",1237,54.1,4,1,264
"3",3,"R.A",1238,54.4,11,1,265
"4",4,"R.A",1239,40.2,11,1,266
"5",5,"R.A",1240,44.5,11,1,267
"6",6,"R.A",1241,54.4,3,1,268
"7",7,"R.A",1242,40,4,2,269
"9",9,"R.A",1243,61.2,5,1,271
"10",10,"R.A",1244,46.5,9,1,272
"11",11,"R.A",1245,42.6,8,1,273
"12",12,"R.A",1246,55.5,8,1,274
"13",13,"R.A",1247,7.1,1,1,275
"14",14,"R.A",1248,47.1,9,1,276
"15",15,"R.A",1249,45.2,12,1,277
"16",16,"R.A",1222,49.6,5,1,248
"17",17,"R.A",1223,44.3,6,1,249
"18",18,"R.A",1224,19.3,4,1,250
"19",19,"R.A",1225,42.4,5,1,251
"20",20,"R.A",1226,62.3,6,1,252
"21",21,"R.A",1227,42.2,5,1,253
"22",22,"R.A",1228,48.9,6,1,254
"23",23,"R.A",1229,40.4,4,1,255
"24",24,"R.A",1230,49.1,4,2,256
"26",26,"R.A",1231,40.5,8,1,258
"27",27,"R.A",1232,37.1,10,1,259
"28",28,"R.A",1233,56,5,1,260
"29",29,"R.A",1234,47.9,9,1,261
"30",30,"R.A",1235,49.7,5,1,262
"31",31,"R.A",1328,41.4,9,1,372
"32",32,"R.A",1330,32,7,1,375
"33",33,"R.A",1275,32,8,1,307
"34",34,"R.A",1274,39.7,2,2,306
"36",36,"R.A",1273,43.6,10,1,304
"37",37,"R.A",1272,54.1,3,1,303
"38",38,"R.A",1271,38.8,8,2,302
"40",40,"R.A",1270,47.1,8,1,300
"41",41,"R.A",1269,43.5,7,1,299
"42",42,"R.A",1268,44.5,10,1,298
"43",43,"R.A",1257,57.5,9,1,286
"44",44,"R.A",1255,63.4,3,1,283
"45",45,"R.A",1254,51.8,6,1,282
"46",46,"R.A",1441,26.1,7,1,503
"47",47,"R.A",1449,43.4,8,1,512
"48",48,"R.A",1450,41.8,8,1,513
"49",49,"R.A",1451,38.1,8,1,514
"50",50,"R.A",1432,43.5,4,1,494
"51",51,"R.A",1433,42.7,6,1,495
"52",52,"R.A",1434,35.3,8,1,496
"53",53,"R.A",1436,31,10,1,498
"54",54,"R.A",1435,34.7,6,1,497
"55",55,"R.A",1437,35.9,8,1,499
"56",56,"R.A",1439,41.7,7,1,501
"57",57,"R.A",1440,25.1,3,1,502
"58",58,"R.A",1438,31.5,4,1,500
"59",59,"R.A",1445,52.4,3,1,508
"60",60,"R.A",1446,42.4,9,1,509
"61",61,"R.A",1424,31.5,11,1,484
"62",62,"R.A",1423,23.4,6,2,482
"64",64,"R.A",1422,44.8,11,1,481
"65",65,"R.A",1416,14.6,2,2,473
"67",67,"R.A",1421,59.4,5,1,480
"68",68,"R.A",1415,31.4,6,1,472
"69",69,"R.A",1420,47.5,4,2,479
"71",71,"R.A",1158,37.2,10,1,173
"72",72,"R.A",1159,44.6,10,1,174
"73",73,"R.A",1160,53.5,6,1,175
"74",74,"R.A",1161,50.1,11,1,176
"75",75,"R.A",1162,57.5,7,1,177
"76",76,"R.A",1552,36.7,6,1,622
"77",77,"R.A",1554,37.6,9,1,624
"78",78,"R.A",1555,42.6,3,2,626
"80",80,"R.A",1556,37.7,6,1,627
"81",81,"R.A",1561,30.4,8,1,632
"82",82,"R.A",1558,42.3,6,1,629
"83",83,"R.A",1557,38.4,4,1,628
"84",84,"R.A",1559,35.2,8,1,630
"85",85,"R.A",1562,32.5,3,1,633
"86",86,"R.A",1565,26.2,2,2,636
"88",88,"R.A",1610,27.4,5,1,688
"89",89,"R.A",1611,32.6,5,1,689
"90",90,"R.A",1613,28.9,13,1,691
