ID	Observers	tag	lg	lf	tp	IDI
1	R.A	1236	46.9	7	1	263
2	R.A	1237	54.1	4	1	264
3	R.A	1238	54.4	11	1	265
4	R.A	1239	40.2	11	1	266
5	R.A	1240	44.5	11	1	267
6	R.A	1241	54.4	3	1	268
7	R.A	1242	40	4	2	269
8	R.A	1242	34.8	5	2	270
9	R.A	1243	61.2	5	1	271
10	R.A	1244	46.5	9	1	272
11	R.A	1245	42.6	8	1	273
12	R.A	1246	55.5	8	1	274
13	R.A	1247	7.1	1	1	275
14	R.A	1248	47.1	9	1	276
15	R.A	1249	45.2	12	1	277
16	R.A	1222	49.6	5	1	248
17	R.A	1223	44.3	6	1	249
18	R.A	1224	19.3	4	1	250
19	R.A	1225	42.4	5	1	251
20	R.A	1226	62.3	6	1	252
21	R.A	1227	42.2	5	1	253
22	R.A	1228	48.9	6	1	254
23	R.A	1229	40.4	4	1	255
24	R.A	1230	49.1	4	2	256
25	R.A	1230	43.8	4	2	257
26	R.A	1231	40.5	8	1	258
27	R.A	1232	37.1	10	1	259
28	R.A	1233	56	5	1	260
29	R.A	1234	47.9	9	1	261
30	R.A	1235	49.7	5	1	262
31	R.A	1328	41.4	9	1	372
32	R.A	1330	32	7	1	375
33	R.A	1275	32	8	1	307
34	R.A	1274	39.7	2	2	306
35	R.A	1274	37.5	7	2	305
36	R.A	1273	43.6	10	1	304
37	R.A	1272	54.1	3	1	303
38	R.A	1271	38.8	8	2	302
39	R.A	1271	26.8	7	2	301
40	R.A	1270	47.1	8	1	300
41	R.A	1269	43.5	7	1	299
42	R.A	1268	44.5	10	1	298
43	R.A	1257	57.5	9	1	286
44	R.A	1255	63.4	3	1	283
45	R.A	1254	51.8	6	1	282
46	R.A	1441	26.1	7	1	503
47	R.A	1449	43.4	8	1	512
48	R.A	1450	41.8	8	1	513
49	R.A	1451	38.1	8	1	514
50	R.A	1432	43.5	4	1	494
51	R.A	1433	42.7	6	1	495
52	R.A	1434	35.3	8	1	496
53	R.A	1436	31	10	1	498
54	R.A	1435	34.7	6	1	497
55	R.A	1437	35.9	8	1	499
56	R.A	1439	41.7	7	1	501
57	R.A	1440	25.1	3	1	502
58	R.A	1438	31.5	4	1	500
59	R.A	1445	52.4	3	1	508
60	R.A	1446	42.4	9	1	509
61	R.A	1424	31.5	11	1	484
62	R.A	1423	23.4	6	2	482
63	R.A	1423	36	4	2	483
64	R.A	1422	44.8	11	1	481
65	R.A	1416	14.6	2	2	473
66	R.A	1416	32.4	4	2	474
67	R.A	1421	59.4	5	1	480
68	R.A	1415	31.4	6	1	472
69	R.A	1420	47.5	4	2	479
70	R.A	1420	25.5	7	2	478
71	R.A	1158	37.2	10	1	173
72	R.A	1159	44.6	10	1	174
73	R.A	1160	53.5	6	1	175
74	R.A	1161	50.1	11	1	176
75	R.A	1162	57.5	7	1	177
76	R.A	1552	36.7	6	1	622
77	R.A	1554	37.6	9	1	624
78	R.A	1555	42.6	3	2	626
79	R.A	1555	31.1	3	2	625
80	R.A	1556	37.7	6	1	627
81	R.A	1561	30.4	8	1	632
82	R.A	1558	42.3	6	1	629
83	R.A	1557	38.4	4	1	628
84	R.A	1559	35.2	8	1	630
85	R.A	1562	32.5	3	1	633
86	R.A	1565	26.2	2	2	636
87	R.A	1565	33.5	5	2	637
88	R.A	1610	27.4	5	1	688
89	R.A	1611	32.6	5	1	689
90	R.A	1613	28.9	13	1	691
91	R.A	1614	31.5	7	1	692
92	R.A	1615	30.6	4	1	693
93	R.A	1627	25.4	10	1	701
94	R.A	1628	28.8	10	1	702
95	R.A	1619	33.3	3	1	697
96	R.A	1621	27.9	7	1	699
97	R.A	1591	33	7	1	668
98	R.A	1590	40.9	5	1	667
99	R.A	1601	33	6	1	678
100	R.A	1602	31.9	10	1	679
101	R.A	1598	49.5	4	1	675
102	R.A	1597	33.7	5	1	674
103	R.A	1596	32	3	1	673
104	R.A	1599	38	4	1	676
105	R.A	1536	45.9	11	1	606
106	R.A	1540	51.5	6	1	610
107	R.A	1544	39	6	1	614
108	R.A	1504	31.6	8	1	571
109	R.A	1412	30.8	10	1	469
110	R.A	1549	28	9	1	619
111	R.A	1500	52.3	8	1	566
112	R.A	1538	43.2	5	1	608
113	R.A	1502	30.5	7	1	568
114	R.A	1541	58.8	6	1	611
115	R.A	1548	34.1	10	1	618
116	R.A	1535	35.1	4	1	605
117	R.A	1595	40.5	5	1	672
118	R.A	1550	37.6	8	1	620
119	R.A	1534	40.1	5	1	604
120	R.A	1503	31.2	6	2	570
121	R.A	1503	23.8	4	2	569
122	R.A	1543	39.2	5	1	613
123	R.A	1545	25.5	11	1	615
124	R.A	1526	38.4	8	1	596
125	R.A	1542	37	8	1	612
126	R.A	1523	39.6	6	1	593
127	R.A	1546	33.5	7	1	616
128	R.A	1507	40.2	5	1	576
129	R.A	1506	34	1	2	574
130	R.A	1506	34.3	3	2	575
131	R.A	1506	24.6	1	2	573
132	R.A	1505	37.5	5	1	572
133	R.A	1539	44.8	8	1	609
134	R.A	1410	34.1	6	1	467
135	R.A	1100	41.8	4	1	111
136	R.A	1001	24.9	3	2	2
137	R.A	1001	29.3	7	2	1
138	R.A	1002	33	7	1	3
139	R.A	1003	36.9	7	1	4
140	R.A	1004	33.5	5	1	5
141	R.A	1005	43.4	6	1	6
142	R.A	1006	34	9	1	7
143	R.A	1007	32.9	7	1	8
144	R.A	1008	33.4	8	1	9
145	R.A	1095	16.2	4	1	106
146	R.A	1009	42.7	12	1	10
147	R.A	1010	42.2	7	1	11
148	R.A	1011	46.3	7	1	12
149	R.A	1012	41.5	6	1	13
150	R.A	1014	46.1	5	1	15
151	R.A	1015	31.4	9	1	16
152	R.A	1016	41.6	10	1	17
153	R.A	1017	40.3	7	1	18
154	R.A	1018	36.7	7	1	19
155	R.A	1019	42.9	6	1	20
156	R.A	1020	47.8	8	1	21
157	R.A	1098	38.1	10	1	109
158	R.A	1097	46.8	6	1	108
159	R.A	1151	42.4	6	1	164
160	R.A	1551	47.3	8	1	621
161	R.A	1553	37.8	7	1	623
162	R.A	1547	31.4	10	1	617
163	R.A	1013	43.1	7	1	14
164	R.A	1092	42.3	8	1	102
165	R.A	1093	31.8	12	1	103
166	R.A	1094	51.7	7	2	105
167	R.A	1094	29.8	8	2	104
168	R.A	1090	36.6	10	1	100
169	R.A	1091	40.8	10	1	101
170	R.A	1089	36.9	3	2	99
171	R.A	1089	31.4	5	2	98
172	R.A	1088	36	8	1	97
173	R.A	1087	44.1	10	1	96
174	R.A	1099	29.8	11	1	110
175	R.A	1086	36	6	2	94
176	R.A	1086	33.8	7	2	95
177	R.A	1085	40.8	9	1	93
178	R.A	1084	39.6	6	1	92
179	R.A	1083	31.1	14	1	91
180	R.A	1082	36.3	5	2	90
181	R.A	1082	61.6	3	2	89
182	R.A	1081	47.2	6	1	88
183	R.A	1080	36.7	10	2	87
184	R.A	1080	13.9	1	2	86
185	R.A	1079	50.2	6	1	85
186	R.A	1078	42.4	5	1	84
187	R.A	1077	47.3	5	1	83
188	R.A	1076	36.2	9	1	82
189	R.A	1075	42	7	1	81
190	R.A	1074	34	7	2	79
191	R.A	1074	31.4	4	2	80
192	R.A	1073	40.1	6	1	78
193	R.A	1072	49.6	4	1	77
194	R.A	1071	42.6	4	2	76
195	R.A	1071	37.9	6	2	75
196	R.A	1070	32.3	4	2	74
197	R.A	1070	40.1	5	2	73
198	R.A	1069	51.6	6	1	72
199	R.A	1068	38.7	12	1	71
200	L.M	1291	34.9	6	1	326
201	L.M	1290	21.5	2	2	325
202	L.M	1292	50.8	3	1	327
203	L.M	1290	31.4	5	2	324
204	L.M	1289	11.5	4	1	323
205	L.M	1294	31.4	6	1	330
206	L.M	1293	23.6	5	2	328
207	L.M	1293	34.4	6	2	329
208	L.M	1295	37	7	1	331
209	L.M	1296	29	6	1	332
210	L.M	1288	48.5	6	1	322
211	L.M	1286	33.2	5	1	320
212	L.M	1297	34.6	7	1	333
213	L.M	1298	28.3	10	1	334
214	L.M	1285	36.9	2	2	319
215	L.M	1285	43.3	5	2	318
216	L.M	1284	37.1	3	1	317
217	L.M	1299	45.5	6	1	335
218	L.M	1287	36.5	5	1	321
219	L.M	1283	35.5	9	1	316
220	L.M	1300	29	3	2	337
221	L.M	1300	34.8	4	2	336
222	L.M	1282	27.5	9	1	315
223	L.M	1281	36.9	7	1	314
224	L.M	1280	41.1	7	1	313
225	L.M	1276	44.5	6	1	310
226	L.M	1278	37.7	8	1	311
227	L.M	1341	43.2	5	1	387
228	L.M	1137	44.5	7	1	150
229	L.M	1140	44.6	4	1	153
230	L.M	1382	39.3	6	1	433
231	L.M	1139	37.4	6	1	152
232	L.M	1346	43	4	2	394
233	L.M	1346	44.1	3	2	395
234	L.M	1358	35.7	5	1	407
235	L.M	1364	37.1	11	1	413
236	L.M	1357	33.4	9	1	406
237	L.M	1356	41.5	7	1	405
238	L.M	1354	36.4	9	1	403
239	L.M	1355	34.6	6	1	404
240	L.M	1353	38.5	7	1	402
241	L.M	1352	50.6	5	1	401
242	L.M	1350	39.2	7	1	399
243	L.M	1351	36.4	5	1	400
244	L.M	1349	37.6	5	1	398
245	L.M	1347	41	6	1	396
246	L.M	1348	37.2	9	1	397
247	L.M	1344	40.1	7	1	392
248	L.M	1345	44.4	5	1	393
249	L.M	1343	41.1	2	2	390
250	L.M	1343	40.9	5	2	391
