TILL122	HT122	TILL155	HT155	TILL187	HT187	TILL222	HT222	TILL264	HT264	TILL332	HT332	TILL412	HT412	Tiller_Number	Tiller	id
NA	NA	NA	NA	1	2.3	1	7	2	7.6	5	10.3	4	7.7	NA	NA	1
2	1.8	2	2.5	2	2.5	2	3.6	3	4.1	NA	NA	NA	NA	NA	NA	2
NA	NA	NA	NA	1	2.9	3	4.1	4	5.1	7	6.6	NA	NA	45	52.4	3
3	4.2	2	4.2	3	4.2	4	4.2	4	5	5	8.4	NA	NA	52	49.8	4
2	1.4	1	3.4	1	4.2	2	4.6	NA	NA	NA	NA	NA	NA	25	49.1	5
1	0.2	1	1.9	1	4.7	3	10	11	20.5	21	22.5	23	21.3	NA	NA	6
2	3.6	2	4.1	2	5.2	4	11.3	7	12	12	12	12	11.4	66	45.9	7
NA	NA	1	2.1	1	5.2	3	15.2	7	22.5	9	25.4	13	25.6	39	44.9	8
NA	NA	NA	NA	1	5.8	3	16.3	13	30.9	28	33.9	36	33.9	26	44.7	9
NA	NA	NA	NA	1	6	2	7.7	5	11	9	14.3	8	14.2	34	44.3	10
3	2.8	2	3.7	3	6	NA	NA	NA	NA	NA	NA	NA	NA	19	44.2	11
3	5.1	1	5.8	1	6.2	2	7.2	4	9.1	7	10.3	6	10.3	5	44.1	12
2	4.3	1	5.7	1	6.5	2	5.5	NA	NA	NA	NA	NA	NA	48	44	13
2	3.8	1	5.2	2	6.9	NA	NA	18	24.8	NA	NA	NA	NA	3	42.2	14
3	2.5	1	5.4	2	6.9	2	7.7	NA	NA	NA	NA	NA	NA	6	40.5	15
NA	NA	NA	NA	1	7	1	14.5	4	17.3	6	17.5	4	9.8	27	40.3	16
2	6.7	1	7	1	7.1	3	7.1	4	7.3	6	7.8	5	8.4	6	40.1	17
1	0.5	1	7.3	1	7.3	4	13.4	11	25.7	21	30	22	30.9	48	40	18
NA	NA	1	5.4	2	7.4	3	16	8	19.4	14	20	19	20.3	1	39.9	19
3	7.5	1	7.5	2	7.5	NA	NA	NA	NA	NA	NA	NA	NA	1	39.4	20
2	3.1	1	5.7	2	7.7	3	10.6	3	12.8	8	13.5	8	10.2	38	39.3	21
NA	NA	1	5.4	4	7.9	5	15.6	16	28.3	29	31	39	30.5	4	39	22
3	3.6	1	5.7	3	8.1	4	9.5	9	13.6	13	13.7	10	11	27	38.6	23
3	3.8	2	6.2	3	8.6	3	10.3	3	13.1	NA	NA	NA	NA	45	38.3	24
3	5	2	8.4	3	8.6	4	12.2	7	15.8	6	16.1	4	15.1	7	38.3	25
2	3.2	2	6.8	4	9	7	9	12	19.7	29	21.1	24	20.9	3	38.2	26
2	4.8	1	8.1	3	9	4	18.6	12	26.8	20	26.8	19	25.4	3	37.8	27
3	4.8	2	7.6	3	9.1	4	10.6	5	11.7	7	12.3	4	12.8	19	37.6	28
2	2.7	2	4.4	2	9.1	NA	NA	NA	NA	NA	NA	NA	NA	3	37.6	29
2	2	1	6.8	3	9.3	4	10.5	7	13.4	8	13.4	6	12.6	4	37.4	30
1	0.5	1	9.2	3	9.4	4	9.4	NA	NA	14	26	15	25.6	1	37.2	31
3	4.2	1	6.8	3	9.6	5	10.8	14	13.4	21	14.4	22	12.4	41	37.1	32
2	2.7	2	6.3	4	9.6	8	18.5	21	27	26	28.5	26	29.5	29	37.1	33
2	5.3	1	5.5	3	9.7	7	20.6	17	24	24	26.1	24	25.6	18	37	34
2	5	1	8.7	2	9.9	4	9.9	NA	NA	NA	NA	NA	NA	38	36.8	35
1	3.8	1	4.7	3	10	6	15.2	14	19.1	22	21.7	NA	NA	37	36.8	36
3	3.3	2	6.2	5	10.1	5	11.7	9	15.5	13	15.5	8	17.2	22	36.5	37
2	1.8	2	5.5	4	10.3	4	13	8	19.2	10	21.7	11	21.4	39	36.4	38
2	4.5	1	7.7	3	10.4	4	16.1	7	16.1	9	16.1	8	13.6	22	36.3	39
3	5	2	7.5	4	10.6	6	11.9	10	15.4	15	15.7	19	16.4	50	36.2	40
3	4.2	1	7.1	3	10.6	7	17	13	19.2	20	19.4	16	18.5	3	36.2	41
3	5.5	3	8.3	4	10.8	4	12.7	8	13.8	14	13.8	12	13.8	87	36.1	42
1	1.7	2	3.3	2	10.8	3	15	9	23	11	28.1	13	27.5	3	36.1	43
3	4.2	2	10	3	10.8	NA	NA	NA	NA	NA	NA	NA	NA	33	35.9	44
2	8.8	2	11	6	11	7	11.7	8	19.5	9	19.9	10	15.2	5	35.6	45
2	6.9	1	6.9	3	11.2	7	13.7	17	21.2	19	21.7	22	22.8	27	35	46
1	1.5	1	7	4	11.3	6	14.5	25	23.3	31	23.8	38	23.1	22	35	47
3	3.5	2	8	3	11.5	9	16.3	16	22.3	38	25.3	40	25.5	2	34.8	48
2	5.7	1	8.6	2	11.8	3	18.8	4	21.9	6	21.9	15	24.6	34	34.6	49
2	7.1	2	9.3	3	11.8	7	17	14	31	21	31	22	30.5	32	34.5	50
2	2.5	1	8.6	3	12	5	23.7	15	37.6	25	41.1	29	39.6	2	33.2	51
3	7.2	4	11	7	12.1	9	14.5	19	20	31	20.1	37	20.3	30	33	52
3	7	4	10.1	8	12.1	10	19.7	27	27.1	43	27.4	47	26.7	17	32.4	53
2	2.6	1	7.8	3	12.3	4	16	28	32.2	15	22.1	15	23	70	32.3	54
3	4	3	8.9	4	12.4	5	12.4	6	12.4	2	12.4	NA	NA	38	32.3	55
2	5.6	2	7.6	3	12.4	4	14.2	8	18.9	8	19	5	18.6	10	32.2	56
3	6	3	9.4	5	12.4	8	23.1	21	24	38	24.1	47	22.2	1	32	57
2	9.4	2	10.4	3	12.5	5	15	11	18.5	19	18.9	13	17.6	1	31.8	58
3	4.4	3	8.8	4	12.5	5	16	11	18.6	15	21.4	15	20.8	28	31.4	59
3	6.4	3	9.5	5	12.6	10	21.4	20	26.3	32	31.6	41	31.9	61	31.2	60
2	2.9	2	9.9	3	12.7	5	12.8	10	19.5	15	19.6	8	17	15	31	61
3	5.5	1	9.6	3	13.4	4	23.3	10	26.8	17	26.9	15	26.8	49	30.8	62
3	5.5	2	8	2	13.5	3	24.5	12	30.5	16	34.4	14	34.6	23	30.7	63
3	5	3	8.4	5	13.6	10	15.9	23	19.6	48	22.7	63	22.4	8	30.7	64
3	6.2	4	11.2	6	13.6	10	20.6	31	20.1	37	27.3	43	27.5	18	30.6	65
1	1.8	1	8.2	3	13.6	6	21.8	19	31.7	21	33.8	19	33.2	3	30.6	66
3	6	3	11.6	5	13.7	5	15.2	10	15	15	15	NA	NA	2	30.6	67
4	4.5	4	9.2	7	13.7	11	20.9	22	27	39	31.1	49	30.2	35	30.5	68
3	5.5	3	9.4	3	13.8	NA	NA	6	19.9	8	20	9	14.6	3	30.4	69
3	7.7	3	11.7	5	13.9	6	14	6	17	NA	NA	NA	NA	47	30.3	70
3	5.5	2	11.8	4	14.1	4	16.5	6	22.1	NA	NA	4	12.7	2	30.3	71
2	4	3	8.5	4	14.2	8	17.4	14	23.7	17	26.1	20	26.3	93	30.2	72
1	0.5	1	9.7	3	14.2	8	18.6	21	25.6	31	28.8	32	25.6	57	30.2	73
4	6.7	3	13.1	4	14.5	6	17.1	11	23	19	23.1	22	18.4	37	30.2	74
