"","year","site","gap","tag","burn_yr","time","surv_init","init_height","rep","stems","surv_fin","fin_height","rep_fin","id","stage"
"796.2014",2011,1,2,89,1966,2014,1,36.1,1,7,1,37.5,1,796,"ad"
"797.2014",2011,1,2,1088,1966,2014,1,34.5,1,1,1,32.1,1,797,"ad"
"868.2014",2011,1,2,90,1966,2014,1,8.6,0,3,1,19.1,1,868,"ad"
"869.2014",2011,1,2,91,1966,2014,1,35,1,5,1,35.6,1,869,"ad"
"870.2014",2011,1,2,870,1966,2014,1,24.4,1,3,1,34.6,1,870,"ad"
"871.2014",2011,1,2,871,1966,2014,1,34.2,1,5,1,33.5,1,871,"ad"
"872.2014",2011,1,2,872,1966,2014,1,27.7,1,3,1,31.6,1,872,"ad"
"873.2014",2011,1,5,972,1966,2014,1,43.6,1,2,1,23,1,873,"ad"
"874.2014",2011,1,2,1073,1966,2014,1,43.1,1,3,1,46.1,1,874,"ad"
"875.2014",2011,1,2,1075,1966,2014,1,35.8,1,3,1,30.6,1,875,"ad"
"894.2014",2012,1,2,3,1966,2014,1,36,1,2,1,58.6,1,894,"ad"
"895.2014",2012,1,2,10,1966,2014,1,31.3,1,3,1,28.8,1,895,"ad"
"897.2014",2013,1,2,45,1966,2014,1,12.4,0,3,1,48.7,39,897,"ad"
"898.2014",2013,1,2,46,1966,2014,1,5.1,0,2,1,22,0,898,"ad"
"899.2014",2013,1,2,48,1966,2014,1,16.3,0,4,1,44.7,1,899,"ad"
"900.2014",2013,1,2,49,1966,2014,1,26.6,1,4,1,53.2,1,900,"ad"
"901.2014",2013,1,2,50,1966,2014,1,22.5,1,6,1,43.3,1,901,"ad"
"902.2014",2013,1,2,51,1966,2014,1,32.1,1,5,1,46.1,1,902,"ad"
"903.2014",2014,1,2,876,1966,2014,3,41.3,1,2,0,NA,NA,903,"ad"
"904.2014",2014,1,2,496,1966,2014,3,25.9,1,8,1,39.6,1,904,"ad"
"905.2014",2014,1,2,874,1966,2014,3,7.1,0,4,1,7.9,0,905,"ad"
"906.2014",2014,1,2,877,1966,2014,3,8.7,0,4,1,22.2,1,906,"ad"
"907.2014",2014,1,2,878,1966,2014,3,9.6,0,4,1,22,1,907,"ad"
"908.2014",2014,1,2,880,1966,2014,3,23,1,3,1,39.6,1,908,"ad"
"909.2014",2014,1,2,883,1966,2014,3,17.2,0,2,1,39.9,1,909,"ad"
"910.2014",2014,1,2,884,1966,2014,3,24.8,1,3,1,47.2,1,910,"ad"
"911.2014",2014,1,2,885,1966,2014,3,9.7,0,4,1,40.4,1,911,"ad"
"912.2014",2014,1,2,886,1966,2014,3,31.3,1,1,1,50.1,1,912,"ad"
"913.2014",2014,1,2,887,1966,2014,3,14.9,0,7,1,51.5,1,913,"ad"
"914.2014",2014,1,2,891,1966,2014,3,32.7,1,4,1,57.8,1,914,"ad"
"915.2014",2014,1,2,892,1966,2014,3,28.4,1,3,1,37.1,1,915,"ad"
"916.2014",2014,1,2,894,1966,2014,3,15.1,0,3,1,38.1,1,916,"ad"
"917.2014",2014,1,2,495,1966,2014,5,2.1,0,1,0,NA,NA,917,"sg"
"918.2014",2014,1,2,499,1966,2014,5,1.3,0,1,0,NA,NA,918,"sg"
"919.2014",2014,1,2,500,1966,2014,5,0.9,0,1,0,NA,NA,919,"sg"
"920.2014",2014,1,2,873,1966,2014,5,2.2,0,1,0,NA,NA,920,"sg"
"921.2014",2014,1,2,875,1966,2014,5,1.3,0,1,0,NA,NA,921,"sg"
"922.2014",2014,1,2,879,1966,2014,5,5.7,0,1,0,NA,NA,922,"sg"
"923.2014",2014,1,2,889,1966,2014,5,1.1,0,1,0,NA,NA,923,"sg"
"924.2014",2014,1,2,893,1966,2014,5,2.1,0,1,0,NA,NA,924,"sg"
"925.2014",2014,1,2,896,1966,2014,5,1.6,0,1,0,NA,NA,925,"sg"
"926.2014",2014,1,2,898,1966,2014,5,3.9,0,2,0,NA,NA,926,"sg"
"927.2014",2014,1,2,497,1966,2014,5,1.7,0,1,1,4.6,0,927,"sg"
"928.2014",2014,1,2,498,1966,2014,5,1,0,1,1,2.7,0,928,"sg"
"929.2014",2014,1,2,498,1966,2014,5,1.7,0,1,1,7.7,0,929,"sg"
"930.2014",2014,1,2,499,1966,2014,5,1.6,0,1,1,10.1,0,930,"sg"
"931.2014",2014,1,2,500,1966,2014,5,3.9,0,2,1,10.9,0,931,"sg"
"932.2014",2014,1,2,881,1966,2014,5,3.7,0,3,1,30.1,1,932,"sg"
"933.2014",2014,1,2,882,1966,2014,5,9.9,0,3,1,27.8,1,933,"sg"
"934.2014",2014,1,2,888,1966,2014,5,12.3,0,3,1,44.9,1,934,"sg"
"935.2014",2014,1,2,889,1966,2014,5,1.4,0,1,1,4,0,935,"sg"
"936.2014",2014,1,2,890,1966,2014,5,1.4,0,1,1,6.6,0,936,"sg"
"937.2014",2014,1,2,895,1966,2014,5,4.8,0,2,1,28.1,1,937,"sg"
"938.2014",2014,1,2,896,1966,2014,5,1.9,0,1,1,11.5,0,938,"sg"
"939.2014",2014,1,2,896,1966,2014,5,1.4,0,1,1,4.5,0,939,"sg"
"940.2014",2014,1,2,897,1966,2014,5,1.8,0,1,1,4.6,0,940,"sg"
"2032.2014",2007,93,10,900,1972,2014,1,36.6,1,9,0,NA,NA,2032,"ad"
"2035.2014",2008,93,10,827,1972,2014,1,45.9,1,3,0,NA,NA,2035,"ad"
"2048.2014",2011,93,18,839,1972,2014,1,26.9,1,1,1,14.9,0,2048,"ad"
"2049.2014",2011,93,19,851,1972,2014,1,44.5,1,4,1,37.6,1,2049,"ad"
"2050.2014",2011,93,19,859,1972,2014,1,17.5,1,1,1,20.6,1,2050,"ad"
"2056.2014",2011,93,2,831,1972,2014,1,43.5,1,3,1,16.4,0,2056,"ad"
"2057.2014",2011,93,18,835,1972,2014,1,32,1,1,1,20.6,1,2057,"ad"
"2058.2014",2011,93,18,836,1972,2014,1,29.9,1,1,1,13.4,1,2058,"ad"
"2059.2014",2011,93,18,838,1972,2014,1,36.1,1,2,1,31.1,34,2059,"ad"
"2060.2014",2011,93,19,848,1972,2014,1,44.1,1,4,1,44.9,1,2060,"ad"
"2061.2014",2011,93,19,849,1972,2014,1,37.9,1,2,1,26.6,1,2061,"ad"
"2062.2014",2011,93,19,850,1972,2014,1,46.4,1,3,1,22,1,2062,"ad"
"2063.2014",2011,93,19,860,1972,2014,1,24.2,1,2,1,23.9,1,2063,"ad"
"2066.2014",2012,93,6,867,1972,2014,1,59.8,1,5,0,NA,NA,2066,"ad"
"2067.2014",2012,93,6,868,1972,2014,1,69.4,1,4,0,NA,NA,2067,"ad"
"2068.2014",2012,93,19,869,1972,2014,1,25.6,1,2,0,NA,NA,2068,"ad"
"2069.2014",2012,93,4,847,1972,2014,1,46.4,1,3,1,30.3,1,2069,"ad"
"2070.2014",2012,93,4,861,1972,2014,1,33.6,1,5,1,29.4,1,2070,"ad"
"2071.2014",2012,93,4,862,1972,2014,1,27.8,1,9,1,56.1,1,2071,"ad"
"2072.2014",2012,93,4,864,1972,2014,1,56.1,1,2,1,42.5,1,2072,"ad"
"2073.2014",2012,93,4,865,1972,2014,1,35,1,3,1,45.2,1,2073,"ad"
"2074.2014",2012,93,6,866,1972,2014,1,52,1,9,1,55.9,388,2074,"ad"
"2075.2014",2013,93,5,874,1972,2014,1,67.7,1,3,1,67.7,1,2075,"ad"
"2076.2014",2013,93,19,875,1972,2014,1,17.7,1,2,1,18.7,12,2076,"ad"
"2077.2014",2013,93,4,872,1972,2014,1,18,0,2,1,20.1,1,2077,"ad"
"2078.2014",2013,93,4,873,1972,2014,1,40.6,1,2,1,48.1,1,2078,"ad"
"2079.2014",2014,93,4,889,1972,2014,5,2.6,0,2,0,NA,NA,2079,"sg"
"2080.2014",2014,93,4,893,1972,2014,5,10.1,0,2,0,NA,NA,2080,"sg"
"2081.2014",2014,93,4,101,1972,2014,5,1.7,0,1,1,4,0,2081,"sg"
"2082.2014",2014,93,4,102,1972,2014,5,3.7,0,1,1,25.4,1,2082,"sg"
"2083.2014",2014,93,10,103,1972,2014,5,1.7,0,1,1,3.9,0,2083,"sg"
"2084.2014",2014,93,10,103,1972,2014,5,1.6,0,1,1,4.1,0,2084,"sg"
"2085.2014",2014,93,10,104,1972,2014,5,1.9,0,1,1,14.5,0,2085,"sg"
"2086.2014",2014,93,4,887,1972,2014,5,5.4,0,1,1,27.2,1,2086,"sg"
"2087.2014",2014,93,4,888,1972,2014,5,0.9,0,1,1,2.8,0,2087,"sg"
"2088.2014",2014,93,4,890,1972,2014,5,7.1,0,2,1,32.9,1,2088,"sg"
"2089.2014",2014,93,4,891,1972,2014,5,7.8,0,1,1,33.3,1,2089,"sg"
"2090.2014",2014,93,4,891,1972,2014,5,5.2,0,1,1,29.7,1,2090,"sg"
"2091.2014",2014,93,4,891,1972,2014,5,8.1,0,2,1,24.1,33,2091,"sg"
"2092.2014",2014,93,4,892,1972,2014,5,3.4,0,2,1,25,1,2092,"sg"
