year,site,plant,seeds
1995,1,373,18
1995,1,373,17
1995,1,370,0
1995,1,370,4
1995,1,378,13
1995,1,378,14
1995,1,381,16
1995,1,381,17
1995,1,380,21
1995,1,380,15
1995,1,386,17
1995,1,386,20
1995,1,389,17
1995,1,389,14
1995,1,313,14
1995,1,313,24
1995,1,322,12
1995,1,322,26
1995,29,57,13
1995,29,49,13
1995,29,47,12
1995,29,57,12
1995,29,64,13
1995,29,64,13
1995,29,4,12
1995,29,45,13
1995,29,45,8
1995,29,17,0
1995,29,7,11
1995,29,7,11
1995,29,37,12
1995,29,37,13
1995,29,4,17
1995,29,46,13
1995,29,46,0
1995,29,66,12
1995,29,66,16
1995,29,1,11
1995,29,1,17
1995,29,30,11
1995,29,30,5
1995,42,143,13
1995,42,143,8
1995,42,137,21
1995,42,137,28
1995,42,140,4
1995,42,140,18
1995,42,99,10
1995,42,99,23
1995,42,146,13
1995,42,146,0
1995,42,157,16
1995,42,157,16
1995,50,566,10
1995,50,566,9
1995,50,565,11
1995,50,565,14
1995,50,542,14
1995,50,542,13
1995,50,547,0
1995,50,547,0
1995,50,213,24
1995,50,213,17
1995,50,219,17
1995,50,214,20
1995,50,184,22
1995,50,184,22
1995,50,183,0
1995,50,183,13
1995,57,448,18
1995,57,448,11
1995,57,428,10
1995,57,428,17
1995,57,415,16
1995,57,415,10
1995,57,457,16
1995,57,457,14
1995,57,462,16
1995,57,462,18
1995,59,346,15
1995,59,346,12
1995,59,371,9
1995,59,371,14
1995,59,362,0
1995,59,362,0
1995,59,323,17
1995,59,323,17
1995,59,332,17
1995,59,332,22
1995,59,339,0
1995,59,339,14
1995,59,340,0
1995,59,340,18
1995,59,371,10
1995,59,371,8
1995,59,520,13
1995,59,520,9
1995,62,1,24
1995,62,1,27
1995,62,36,0
1995,62,36,0
1995,62,29,14
1995,62,29,10
1995,62,30,10
1995,62,30,13
1995,62,5,18
1995,62,5,10
1995,62,73,16
1995,62,73,20
1995,62,74,14
1995,62,74,16
1995,62,68,18
1995,62,68,5
1995,67,290,16
1995,67,290,4
1995,67,283,15
1995,67,283,23
1995,67,263,22
1995,67,263,16
1995,67,244,20
1995,67,244,18
1995,67,254,18
1995,67,254,21
1995,67,253,0
1995,67,253,13
1995,67,697,5
1995,67,697,16
1995,87,235,11
1995,87,235,22
1995,87,278,17
1995,87,278,13
1995,87,256,2
